hrvw 害人之心不可有，防人之心不可无
tptf 踏破铁鞋无觅处，得来全不费工夫
xtxl 先天下之忧而忧，后天下之乐而乐
vxvd 只许州官放火，不许百姓点灯
rbk 人不可貌相，海水不可斗量
migp 没吃过猪肉，还没见过猪跑
rbkl 人不可貌相，海水不可斗量
yqru; 以其人之道，还治其人之身
yqq 欲穷千里目，更上一层楼
btlq 不听老人言，吃亏在眼前
dsnr 爹死娘嫁人，各人顾各人
ebxp 儿不嫌母丑，狗不嫌家贫
glvl 过了这个村就没这个店了
gyuq 工欲善其事，必先利其器
hdlj 皇帝轮流坐，明年到我家
hjyy 行家一出手，就知有没有
ivwd 吃着碗里的，望着锅里的
mvux 明知山有虎，偏向虎山行
nyvt 你有张良计，我有过墙梯
rwgl 人往高处走，水往低处流
rzwt 人在屋檐下，不得不低头
snqy 三年清知府，十万雪花银
tusg 台上三分钟，台下十年功
ufbg 是福不是祸，是祸躲不过
ulzl 是骡子是马，拉出来溜溜
vtrf 长他人志气，灭自己威风
xcyq 秀才遇到兵，有理说不清
ygil 一个唱红脸，一个唱白脸
yqql 欲穷千里目，更上一层楼
yslc 压死骆驼的最后一根稻草
yvqx 一朝权在手，便把令来行
yxrf; 以小人之心，度君子之腹
bdsh 冰冻三尺，非一日之寒
bvdu 不知道从什么时候开始
ddlw 躲得了初一躲不过十五
glvd 过了这个村就没这个店
hbdq 恨不得有条地缝钻进去
ixfp 丑媳妇早晚也得见公婆
jgjy 鞠躬尽瘁，死而后已。
klvi 可怜之人必有可恨之处
lzdy 林子大了，什么鸟都有
uwss 圣文森特和格林纳丁斯
ymzl 夜猫子进宅，无事不来
etw 耳听为虚，眼见为实
jzx 箭在弦上，不得不发
qvb 牵着不走，打着倒退
rwd 人为刀俎，我为鱼肉
utw 上天无路，入地无门
bcki 病从口入，祸从口出
bjkl 不积跬步无以至千里
bpyy 不怕一万，就怕万一
brhz 不入虎穴，焉得虎子
brmq 被人卖了还帮着数钱
buby 比上不足，比下有余
buyp 不是鱼死，就是网破
bywb 不以物喜，不以己悲
ddbl 当断不断，反受其乱
dgyv 道高一尺，魔高一丈
dlib 大路朝天，各走一边
dmbm 大门不出，二门不迈
dmug 当面是人，背后是鬼
dnbf 大难不死，必有后福
drjg 端人家碗，受人家管
duhl 大事化小，小事化了
dybz 打一巴掌，给个甜枣
dytv 当一天和尚撞一天钟
enqd 儿女情长，英雄气短
esud 饿死事小，失节事大
etwu 耳听为虚，眼见为实
fuwy 翻手为云，覆手为雨
fwzy 非我族类，其心必异
fxtf 放下屠刀，立地成佛
gilk 刚出狼窝，又入虎口
hdbh 会的不难，难的不会
hklv 花开两朵，各表一枝
ibds 吃不到葡萄说葡萄酸
irjg 吃人家饭，受人家管
issi 楚虽三户，亡秦必楚
iuby 成事不足，败事有余
ivwl 吃着碗里，望着锅里
iysi 尺有所短，寸有所长
jdbl 旧的不去，新的不来
jjsg 嫁鸡随鸡，嫁狗随狗
jlvg 捡了芝麻，丢了西瓜
jvvh 近朱者赤，近墨者黑
jzad 君子爱财，取之有道
jzxf 箭在弦上，不得不发
jzyv 君子一言，驷马难追
lbba; 萝卜白菜，各有所爱
lbqa 萝卜青菜，各有所爱
ljil 老将出马，一个顶俩
ltye 雷霆雨露，皆是君恩
lvbl 来者不善，善者不来
mlvh 米粒之珠，也放光华
mqsq 麻雀虽小，五脏俱全
muzt 谋事在人，成事在天
mxyv 木秀于林，风必摧之
pvbf 皮之不存，毛将焉附
qbvd 前不着村，后不着店
qfdc 棋逢对手，将遇良才
qjvt 千金之子，坐不垂堂
qjyq 千军易得，一将难求
qrzl 前人栽树，后人乘凉
qvbt 牵着不走，打着倒退
rbfr 人不犯我，我不犯人
rglu 人过留名，雁过留声
rrfr 人若犯我，我必犯人
rvju 人之将死，其言也善
rwdr 人为刀俎，我为鱼肉
rwyy 人无远虑，必有近忧
rysm 日有所思，夜有所梦
rzjj 人在江湖，身不由己
sbyu 三步一岗，五步一哨
sfxg 三分像人，七分像鬼
stdw 三天打鱼，两天晒网
tlbh 螳螂捕蝉，黄雀在后
tlbx 桃李不言，下自成蹊
ttyj 头痛医头，脚痛医脚
txmc 天下没有白吃的午餐
tyxr 天要下雨，娘要嫁人
ubdl; 舍不得孩子套不住狼
ubdq 生不带来，死不带去
udnt 蜀道难，难于上青天
udyb 伤敌一千，自损八百
unhx 十年河东，十年河西
unur 十年树木，百年树人
uriq 杀人偿命，欠债还钱
utwm 上天无路，入地无门
uvtl 上知天文，下知地理
vehn 丈二和尚摸不着头脑
vgdd 种瓜得瓜，种豆得豆
vkyi 只可意会，不可言传
vuvf; 重赏之下，必有勇夫
vvqu; 智者千虑，必有一失
vyvy; 睁一只眼，闭一只眼
vzvl 执子之手，与子偕老
wbry 我不入地狱谁入地狱
wujf 万事俱备，只欠东风
wzfz 王子犯法与庶民同罪
xbgx 行不更名，坐不改姓
xczi 秀才造反，三年不成
xdtj 兄弟同心，其利断金
xgyv 行高于人，众必非之
ybqu 养兵千日，用兵一时
ybrg 衣不如新，人不如故
yfdk 一夫当关，万夫莫开
yfdy 要风得风，要雨得雨
yfgh 一分耕耘，一分收获
yftd 有福同享，有难同当
yglf 眼观六路，耳听八方
ygya 一个愿打，一个愿挨
yjyn 有借有还，再借不难
yrby; 用人不疑，疑人不用
yrie 一人吃饱，全家不饿
yrwf; 一日为师，终生为父
yvqd 愚者千虑，必有一得
yztq 远在天边，近在眼前
yzvd 以子之矛，攻子之盾
zfyl 子非鱼，安知鱼之乐
zvji 早知今日，何必当初
zytv 做一天和尚撞一天钟
ygt 一个天上一个地下
albg 阿拉伯联合酋长国
bdjg; 不当家不知柴米贵
bigb 百尺竿头更进一步
bjyv 不经一事不长一智
cdjd 从刀尖上爬过来的
cybd 苍蝇不叮无缝的蛋
dbvs 打不着狐狸惹身骚
dylz 东一榔头西一棒子
dyuu 多一事不如少一事
gzly 狗嘴里吐不出象牙
hddj; 皇帝的女儿不愁嫁
hkdi 会哭的孩子有奶吃
hpgz 和平共处五项原则
hrbs 活人不能让尿憋死
irxh 仇人相见分外眼红
ittg 赤条条来去无牵挂
iyyh 初一一回十五一回
jjfv 急惊风撞着慢郎中
jjyj 家家有本难念的经
jsbr 己所不欲勿施于人
jtwx 具体问题具体分析
lhmr 癞蛤蟆想吃天鹅肉
lugd 老鼠过街人人喊打
mygy 没有规矩不成方圆
plhm 跑了和尚跑不了庙
qcla 青菜萝卜各有所爱
qfni 巧妇难为无米之炊
qiyl; 青出于蓝而胜于蓝
srxu 三人行，必有我师
tlng 特立尼达和多巴哥
txwx 天下无不散之筵席
udmb 圣多美和普林西比
ukrr 是可忍，孰不可忍
usdd 瘦死的骆驼比马大
vuyf 壮士一去兮不复返
vvqe 只知其一不知其二
vvut 站着说话不嫌腰疼
vwdy 朝闻道，夕死可矣
vyrt 中央人民广播电台
whjh 王侯将相宁有种乎
xjif 心急吃不了热豆腐
xjwq 新疆维吾尔自治区
ybwq 一波未平一波又起
yfur 一方水土养一方人
yhxd 鱼和熊掌不可兼得
yjrh 一家人不说两家话
ykhb 一颗红心两手准备
yqav 燕雀安知鸿鹄之志
yrbq 一日不见如隔三秋
bve 不战而屈人之兵
ftd 粪土当年万户侯
fyu 腹有诗书气自华
hty 回头一笑百媚生
leb 来而不往非礼也
nns 年年岁岁花相似
qju 强将手下无弱兵
rxb 人心不足蛇吞象
sts 三天三夜说不完
udb 说的比唱的好听
axhp 按下葫芦起来瓢
bbyy 巴布亚新几内亚
bdih 不到长城非好汉
bghc 拔根汗毛比腰粗
bgsy 不管三七二十一
bgyb 不敢越雷池一步
bhbj 饱汉不知饿汉饥
bhpj 不患贫而患不均
biln 拔出萝卜带出泥
biys 不吃羊肉惹身臊
bjfi 宝剑锋从磨砺出
bjgl 不见棺材不落泪
bjty 不见兔子不撒鹰
bjvx 不见真佛不烧香
bksm 不看僧面看佛面
bryj 不如意事常八九
bulm 不识庐山真面目
buyt; 不是冤家不聚头
bvdh 不知道什么时候
bveb 不战而屈人之兵
bvnt 不撞南墙不回头
bwwy 不为五斗米折腰
byns 布宜诺斯艾利斯
bzrc 不遭人妒是庸才
cdwl 此地无银三百两
cjcu 曾经沧海难为水
cmfw 聪明反被聪明误
cuwu; 此时无声胜有声
cyuu 此一时，彼一时
dbry 东边日出西边雨
dbtm 道不同不相为谋
ddzu; 斗大字不识一升
dfbl 东方不亮西方亮
dghr 打狗还得看主人
dkth 打开天窗说亮话
dlpg 得了便宜还卖乖
dlqf 得来全不费工夫
dnlf 大难临头各自飞
dpud 打破砂锅问到底
drbg 大人不记小人过
drrr 得饶人处且饶人
dtbj 低头不见抬头见
dthy; 打铁还需本身硬
dudl 大树底下好乘凉
dudm 丁是丁，卯是卯
duim 大水冲了龙王庙
duwq 道是无晴却有晴
dvdv 打着灯笼找不着
dxbb 多行不义必自毙
dylb 东一榔头西一棒
exqy 儿行千里母担忧
fllq 风里来，雨里去
fqbn 夫妻本是同林鸟
frvw 防人之心不可无
fubt; 肥水不流外人田
fugn 俯首甘为孺子牛
fvsv 放之四海而皆准
fxxh 风萧萧兮易水寒
fyuh 腹有诗书气自华
gbhm 敢把皇帝拉下马
gfbr 功夫不负有心人
glum 古来圣贤皆寂寞
grzx 各人自扫门前雪
gtsy 管他三七二十一
gxvq 广西壮族自治区
gzty 狗嘴吐不出象牙
hbtd 话不投机半句多
hbxu 恨不相逢未嫁时
hebx 哈尔滨工业大学
hgyu 好钢用在刀刃上
hhbk 好汉不吃眼前亏
hhby; 好汉不提当年勇
hhhg 画虎画皮难画骨
hlit 好了疮疤忘了痛
hlpq 虎落平阳被犬欺
hlut 好了伤疤忘了疼
hmbc 好马不吃回头草
hmlv 横眉冷对千夫指
hrvy 害人之心不可有
htby 横挑鼻子竖挑眼
hxdf 好心当成驴肝肺
idji 船到江心补漏迟
idqq 拆东墙，补西墙
idqv 船到桥头自然直
idul 车到山前必有路
ifpu 长风破浪会有时
ihvp 窗户纸一点就破
iihz 赤橙黄绿青蓝紫
ijhl 长江后浪推前浪
imyi 柴米油盐酱醋茶
iqwy 除却巫山不是云
iunh 初生牛犊不怕虎
ivwk 成者王侯败者寇
ivyg 朝中有人好做官
iyqv 吃一堑，长一智
jfvu 酒逢知己千杯少
jhmk 计划没有变化快
jjbj 敬酒不吃吃罚酒
jlhr 解铃还须系铃人
jlvv 既来之，则安之
jryw 拒人于千里之外
judi 江山代有才人出
july 近水楼台先得月
jvcx 绝知此事要躬行
jvyz 今朝有酒今朝醉
jxbu 酒香不怕巷子深
jyuv 经一事，长一智
jzdu 君子动口不动手
kgmj 开弓没有回头箭
kyrs 可与人言无二三
lahc 柳暗花明又一村
ldrk 来得容易去得快
lebu 两耳不闻窗外事
leby 来而不往非礼也
lebz 老而不死是为贼
lhpd 老虎屁股摸不得
liht 脸朝黄土背朝天
lmmx 路漫漫其修远兮
lsld 临死拉个垫背的
ludx 雷声大，雨点小
lujt 龙生九子各不同
lwyz 来无影，去无踪
lzhh 浪子回头金不换
lzyh 老子英雄儿好汉
mbgt 面不改色心不跳
mdbg 磨刀不误砍柴工
mgtu 莫管他人瓦上霜
mhxl 梅花香自苦寒来
mkhb 猫哭耗子假慈悲
mmbz 买卖不成仁义在
mmhv 眉毛胡子一把抓
mtxw 冒天下之大不韪
mvsy 满招损，谦受益
mybq 没有不透风的墙
mybx 没有不散的筵席
mymc 没有免费的午餐
nbht 牛不喝水强按头
nexj 男儿膝下有黄金
neyt 男儿有泪不轻弹
ngtu 哪管他人瓦上霜
nhbh 哪壶不开提哪壶
nljj 拿了鸡毛当令箭
nlkq 哪凉快哪呆着去
nvjj 拿着鸡毛当令箭
nxhq 宁夏回族自治区
plfb 赔了夫人又折兵
qdty 求大同，存小异
qgnu 清官难断家务事
qgql 桥归桥，路归路
qjsl 千金散尽还复来
qjub 强将手下无弱兵
qlxn 娶了媳妇忘了娘
qlyq 千里姻缘一线牵
qnkx 墙内开花墙外香
qplh 前怕狼，后怕虎
qryu; 情人眼里出西施
quem 穷山恶水出刁民
qurn 请神容易送神难
qvgu 强中更有强中手
qvzu 强中自有强中手
qyfu; 牵一发而动全身
rbqq 惹不起还躲不起
rpiv 人怕出名猪怕壮
rviu 人之初，性本善
rxbx 人心不足蛇吞象
sghi 三个和尚没水吃
shvd 四海之内皆兄弟
sjhh 三句话不离本行
ssnt 岁岁年年人不同
ssxd 三岁小孩都知道
stsw 三天三夜说不完
svbt 死猪不怕开水烫
symz; 死要面子活受罪
